squad,rank,difficulty
Brazil,1841,10.00
Belgium,1817,9.69
Argentina,1774,9.14
France,1760,8.96
England,1728,8.55
Italy,1726,8.53
Spain,1715,8.38
Netherlands,1695,8.13
Portugal,1677,7.90
Denmark,1667,7.77
Germany,1650,7.55
Croatia,1646,7.50
Mexico,1645,7.49
Uruguay,1639,7.41
Switzerland,1636,7.37
USA,1627,7.26
Colombia,1611,7.05
Senegal,1584,6.71
Wales,1570,6.53
Iran,1565,6.46
Serbia,1564,6.45
Morocco,1564,6.45
Peru,1561,6.41
Japan,1560,6.40
Sweden,1553,6.31
Poland,1549,6.26
Ukraine,1537,6.10
South Korea,1530,6.01
Chile,1510,5.76
Tunisia,1508,5.73
Costa Rica,1504,5.68
Nigeria,1498,5.60
Russia,1496,5.58
Austria,1493,5.54
Czechia,1492,5.53
Hungary,1492,5.53
Algeria,1489,5.49
Australia,1489,5.49
Egypt,1486,5.45
Scotland,1480,5.37
Canada,1475,5.31
Norway,1473,5.28
Cameroon,1471,5.26
Ecuador,1464,5.17
Türkiye,1460,5.12
Mali,1449,4.97
Paraguay,1449,4.97
Ivory Coast,1443,4.90
Ireland,1440,4.86
Qatar,1440,4.86
Saudi Arabia,1438,4.83
Greece,1438,4.83
Romania,1435,4.79
Burkina Faso,1432,4.76
Slovakia,1426,4.68
Finland,1406,4.42
Venezuela,1404,4.40
Bosnia,1404,4.40
N. Ireland,1397,4.31
Panama,1393,4.26
Ghana,1393,4.26
Iceland,1384,4.14
Slovenia,1384,4.14
Jamaica,1379,4.08
North Macedonia,1359,3.82
Albania,1354,3.76
South Africa,1350,3.71
Iraq,1343,3.62
Montenegro,1341,3.59
U. A. E.,1338,3.55
Cape Verde,1336,3.53
Bulgaria,1335,3.51
DR Congo,1334,3.50
El Salvador,1331,3.46
Oman,1320,3.32
Israel,1317,3.28
Uzbekistan,1310,3.19
Georgia,1307,3.15
China,1305,3.13
Honduras,1302,3.09
Gabon,1302,3.09
Bolivia,1296,3.01
Guinea,1290,2.94
Jordan,1290,2.94
Bahrain,1281,2.82
Curaçao,1279,2.79
Haiti,1269,2.67
Zambia,1267,2.64
Uganda,1261,2.56
Syria,1256,2.50
Benin,1247,2.38
Luxembourg,1244,2.35
Armenia,1234,2.22
Palestine,1234,2.22
Kyrgyzstan,1230,2.17
Vietnam,1227,2.13
Belarus,1221,2.05
Equat. Guinea,1216,1.99
Lebanon,1212,1.94
Congo,1209,1.90
Kenya,1202,1.81
Madagascar,1201,1.79
Mauritania,1198,1.76
Trinidad,1195,1.72
Nuova Zelanda,1194,1.71
India,1192,1.68
Kosovo,1187,1.62
Tagikistan,1186,1.60
Estonia,1185,1.59
Cipro,1184,1.58
Thailandia,1175,1.46
Corea del Nord,1170,1.40
Kazakistan,1167,1.36
Mozambico,1165,1.33
Namibia,1164,1.32
Guinea-Bissau,1161,1.28
Sierra Leone,1160,1.27
Guatemala,1157,1.23
Angola,1156,1.22
Libia,1154,1.19
Niger,1153,1.18
Feroe,1147,1.10
Azerbaigian,1147,1.10
Malawi,1145,1.08
Zimbabwe,1139,1.00
