Team_1,Goals_1,Goals_2,Team_2
Paraguay,2,2,Peru
Uruguay,2,1,Chile
Argentina,1,0,Ecuador
Colombia,3,0,Venezuela
Brazil,5,0,Bolivia
Bolivia,1,2,Argentina
Ecuador,4,2,Uruguay
Venezuela,0,1,Paraguay
Peru,2,4,Brazil
Chile,2,2,Colombia
Bolivia,2,3,Ecuador
Argentina,1,1,Paraguay
Colombia,0,3,Uruguay
Chile,2,0,Peru
Brazil,1,0,Venezuela
Venezuela,2,1,Chile
Ecuador,6,1,Colombia
Uruguay,0,2,Brazil
Paraguay,2,2,Bolivia
Peru,0,2,Argentina
Bolivia,1,0,Peru
Venezuela,2,1,Ecuador
Colombia,0,0,Brazil
Argentina,3,0,Uruguay
Chile,2,0,Paraguay
Ecuador,0,0,Chile
Uruguay,4,2,Bolivia
Paraguay,1,1,Colombia
Peru,1,0,Venezuela
Brazil,,,Argentina
Bolivia,3,1,Venezuela
Uruguay,0,0,Paraguay
Argentina,1,1,Chile
Peru,0,3,Colombia
Brazil,2,0,Ecuador
Ecuador,1,2,Peru
Venezuela,0,0,Uruguay
Colombia,2,2,Argentina
Paraguay,0,2,Brazil
Chile,1,1,Bolivia
Bolivia,1,1,Colombia
Ecuador,2,0,Paraguay
Venezuela,1,3,Argentina
Peru,1,1,Uruguay
Chile,0,1,Brazil
Uruguay,1,0,Ecuador
Paraguay,2,1,Venezuela
Colombia,3,1,Chile
Argentina,3,0,Bolivia
Brazil,2,0,Peru
Uruguay,0,0,Colombia
Paraguay,0,0,Argentina
Venezuela,1,3,Brazil
Ecuador,3,0,Bolivia
Peru,2,0,Chile
Bolivia,4,0,Paraguay
Colombia,0,0,Ecuador
Argentina,1,0,Peru
Chile,3,0,Venezuela
Brazil,4,1,Uruguay
Ecuador,1,0,Venezuela
Paraguay,0,1,Chile
Brazil,1,0,Colombia
Peru,3,0,Bolivia
Uruguay,0,1,Argentina
Bolivia,3,0,Uruguay
Venezuela,1,2,Peru
Colombia,0,0,Paraguay
Argentina,0,0,Brazil
Chile,0,2,Ecuador
Ecuador,1,1,Brazil
Paraguay,0,1,Uruguay
Chile,1,2,Argentina
Colombia,0,1,Peru
Venezuela,4,1,Bolivia
Bolivia,2,3,Chile
Uruguay,4,1,Venezuela
Argentina,1,0,Colombia
Brazil,4,0,Paraguay
Peru,1,1,Ecuador
Uruguay,1,0,Peru
Colombia,3,0,Bolivia
Brazil,4,0,Chile
Paraguay,3,1,Ecuador
Argentina,3,0,Venezuela
Peru,2,0,Paraguay
Venezuela,0,1,Colombia
Bolivia,0,4,Brazil
Chile,0,2,Uruguay
Ecuador,1,1,Argentina
