Team,GK,Fwd1,Fwd2,Fwd3,mid1,mid2,mid3,def1,def2,def3,def4,coach,form,morale,supersub
Brazil,1,1,1,1,2,1,2,1,2,1,1,2,1,2,1
Spain,3,2,1,2,1,1,1,1,1,1,1,1,1,2,1
France,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1
Germany,1,2,1,1,1,1,1,1,1,2,2,1,3,2,2
Portugal,2,2,1,1,2,3,1,1,1,1,1,2,1,2,2
England,2,1,1,1,1,1,2,1,1,2,2,2,4,3,1
Belgium,1,3,1,2,1,1,2,2,2,1,3,1,2,2,2
Argentina,2,1,1,1,2,2,1,2,2,3,2,3,1,2,3
Netherlands,3,2,2,2,1,3,3,1,1,1,1,2,1,2,4
Croatia,3,2,3,3,1,1,2,2,2,3,2,2,1,2,3
Switz,2,2,2,2,3,1,3,3,3,2,1,4,3,2,3
Uruguay,2,3,1,2,1,1,3,3,2,3,2,3,3,2,5
Denmark,2,3,4,4,1,1,3,3,3,2,2,3,2,1,3
Senegal,2,3,3,4,3,3,3,1,2,2,4,3,1,3,2
USA,3,4,2,2,2,2,3,2,2,3,2,4,4,1,3
Serbia,3,1,2,4,3,3,3,3,3,3,3,4,2,2,5
Poland,2,1,3,3,2,4,4,2,3,4,4,4,3,2,5
Mexico,4,2,3,3,3,3,3,3,3,3,4,2,4,4,4
Japan,3,4,3,3,2,3,3,3,4,4,4,4,3,1,5
Morocco,2,3,2,5,4,4,4,1,2,3,3,5,3,4,5
Korea,4,4,2,4,3,3,4,3,5,5,5,3,3,2,1
Ghana,5,4,3,4,1,3,3,4,3,3,3,3,3,4,5
Wales,4,2,3,4,3,4,4,5,5,1,3,5,4,1,5
Ecuador,5,5,4,4,3,3,4,3,3,3,3,3,3,2,5
Canada,5,2,3,3,4,4,4,4,4,5,5,5,2,3,2
Cameroon,2,1,2,4,5,5,5,4,4,4,4,4,4,2,5
Costa Rica,1,4,4,4,4,5,5,3,3,5,5,3,3,2,5
Saudi,5,5,4,4,4,4,4,3,3,4,4,4,4,2,5
Iran,4,3,3,4,4,5,5,5,5,5,5,3,2,4,5
Tunisia,5,4,5,5,4,4,4,4,4,5,5,4,3,2,5
Australia,3,5,5,5,4,4,4,5,5,5,5,4,3,2,5
Qatar,3,4,5,5,5,5,5,5,5,5,5,5,3,2,5
